section,pub_date,event,bias,citation according to google scholar,specific_topic,title,link 
,2013,"DeStefano F, Price CS, Weintraub ES. ",,,misc. vax,,
,2010,Smith M and Woods C.,,,misc. vax,,
,2011,"Klein N, et al.",,,misc. vax,,
,2011,"Klein N, et al.,",,,misc. vax,,
,1998,"Peltola H, et al.",,263,mmr,"No Evidence for Measles, Mumps, and Rubella Vaccine-Associated Inflammatory Bowel Disease or Autism in a 14-year Prospective Study",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(98)24018-9/fulltext
,1999,"Taylor B, et al.",,963,mmr,"Autism and Measles, Mumps, and Rubella Vaccine: No Epidemiological Evidence for a Causal Association",
,2001,"Kaye JA, et al.",,478,mmr,"Mumps, Measles, and Rubella Vaccine and the Incidence of Autism Recorded by General Practitioners: A Time Trend Analysis",
,2001,"Farrington CP, et al.",,244,mmr,MMR and autism: further evidence against a causal association,
,2001,Dales L et al.,,423,mmr,,
,2001,"Davis RL, et al.",,149,mmr,,
,2001,"Fombonne E, et al.",,,mmr,,
,2002,"Taylor B, et al. ",,,mmr,,
,2002,"Black C, et al.",,,mmr,,
,2002,"Makela A, et al.",,,mmr,,
,2002,"Madsen KM, et al.",,,mmr,,
,2003,"Lingam R, et al.",,,mmr,,
,2004,"Smeeth L, et al.",,,mmr,,
,2004,DeStefano F et al.,,,mmr,,
,2004,"Chen W, et al.",,,mmr,,
,2005,"Honda H, et al.,",,,mmr,,
,2004,Institute of Medicine,,,mmr,,
,2004,"Klein KC, Diehl EB.",,,mmr,,
,2006,"Richler, et al.,",,,mmr,,
,2006,"Fombonne E, et al.,",,,mmr,,
,2006,"Doja A, and Roberts W",,,mmr,,
,2006,"Dâ€™Souza Y, et al.,",,,mmr,,
,2007,"Uchiyama T, et al.",,,mmr,,
,2008,"Baird G, et al.",,,mmr,,
,2008,"Hornig M et al.,",,,mmr,,
,2010,"Budzyn D, et al., ",,,mmr,,
,2015,"Jain A, Marshall J, Buikema A, Bancroft T, Kelly JP, Newschaffer CJ",,,mmr,,
,2015,"Uno Y, Uchiyama T, Kurosawa M, Aleksic B, Ozaki N ",,,mmr,,
,2014,"Taylor LE, Swerdfeger AL, Eslick GD",,,mmr,,
,2003,"Hviid, et al.",,,thimerosal,,
,2004,"Heron, et al.",,,thimerosal,,
,2003,"Madsen, et al",,,thimerosal,,
,2003,"Stehr-Green P, et al",,,thimerosal,,
,2004,"Andrews N, et al.,",,,thimerosal,,
,2006,"Fombonne, et al.,",,,thimerosal,,
,2007,"Thompson, et al.,",,,thimerosal,,
,2008,"Pichichero, et al",,,thimerosal,,
,2008,"Schechter and Grether, ",,,thimerosal,,
,2010,"Price C, et al.,",,,thimerosal,,
,2010,"Budzyn D, et al",,,thimerosal,,